rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__eta,param_model__gamma,param_model__lambda,params,split0_test_score,split0_train_score
37,0.4199647789415145,0.0,0.4372880573946342,0.0,299.9328496456146,0.0,1.6745200157165527,0.0,0.01,0,10,"{'model__eta': 0.01, 'model__gamma': 0, 'model__lambda': 10}",0.4199647789415145,0.4372880573946342
38,0.41987209194550007,0.0,0.4371496458972525,0.0,315.305734872818,0.0,3.6691863536834717,0.0,0.001,0,0.0001,"{'model__eta': 0.001, 'model__gamma': 0, 'model__lambda': 0.0001}",0.41987209194550007,0.4371496458972525
38,0.41987209194550007,0.0,0.4371265773143556,0.0,312.5720465183258,0.0,4.523900508880615,0.0,0.001,0,0.001,"{'model__eta': 0.001, 'model__gamma': 0, 'model__lambda': 0.001}",0.41987209194550007,0.4371265773143556
40,0.41977940494948557,0.0,0.43701123439987083,0.0,315.4393780231476,0.0,5.374626874923706,0.0,0.001,0,0.01,"{'model__eta': 0.001, 'model__gamma': 0, 'model__lambda': 0.01}",0.41977940494948557,0.43701123439987083
41,0.41950134396144223,0.0,0.43574246234053843,0.0,313.701025724411,0.0,1.7263834476470947,0.0,0.001,10,0.0001,"{'model__eta': 0.001, 'model__gamma': 10, 'model__lambda': 0.0001}",0.41950134396144223,0.43574246234053843
41,0.41950134396144223,0.0,0.43574246234053843,0.0,314.3971643447876,0.0,2.0295722484588623,0.0,0.001,10,0.001,"{'model__eta': 0.001, 'model__gamma': 10, 'model__lambda': 0.001}",0.41950134396144223,0.43574246234053843
41,0.41950134396144223,0.0,0.43562711942605364,0.0,323.9087257385254,0.0,1.4461312294006348,0.0,0.001,10,0.01,"{'model__eta': 0.001, 'model__gamma': 10, 'model__lambda': 0.01}",0.41950134396144223,0.43562711942605364
44,0.41940865696542773,0.0,0.4616254123509193,0.0,298.638308763504,0.0,0.8297815322875977,0.0,1,10,1,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 1}",0.41940865696542773,0.4616254123509193
45,0.4193159699694133,0.0,0.43537336501418716,0.0,295.9874005317688,0.0,1.6196701526641846,0.0,0.001,10,0.1,"{'model__eta': 0.001, 'model__gamma': 10, 'model__lambda': 0.1}",0.4193159699694133,0.43537336501418716
46,0.41903790898136983,0.0,0.4367805485709013,0.0,298.3032076358795,0.0,1.8380839824676514,0.0,0.001,0,0.1,"{'model__eta': 0.001, 'model__gamma': 0, 'model__lambda': 0.1}",0.41903790898136983,0.4367805485709013
47,0.4182964130132543,0.0,0.4289833675517313,0.0,295.53361320495605,0.0,1.67153000831604,0.0,0.01,10,10,"{'model__eta': 0.01, 'model__gamma': 10, 'model__lambda': 10}",0.4182964130132543,0.4289833675517313
48,0.4178329780331819,0.0,0.4327896837297285,0.0,296.21579098701477,0.0,2.1841583251953125,0.0,0.001,0,1,"{'model__eta': 0.001, 'model__gamma': 0, 'model__lambda': 1}",0.4178329780331819,0.4327896837297285
48,0.4178329780331819,0.0,0.43004452236499113,0.0,300.14528012275696,0.0,1.2955350875854492,0.0,0.001,10,1,"{'model__eta': 0.001, 'model__gamma': 10, 'model__lambda': 1}",0.4178329780331819,0.43004452236499113
50,0.41736954305310975,5.551115123125783e-17,0.433020369558698,0.0,305.0731031894684,0.0,1.926844835281372,0.0,0.0001,10,0.01,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.01}",0.4173695430531097,0.433020369558698
51,0.4172768560570952,0.0,0.4330895753073889,0.0,306.9361193180084,0.0,1.5628209114074707,0.0,0.0001,10,0.0001,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.0001}",0.4172768560570952,0.4330895753073889
51,0.4172768560570952,0.0,0.4330895753073889,0.0,304.23434472084045,0.0,1.675518274307251,0.0,0.0001,10,0.001,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.001}",0.4172768560570952,0.4330895753073889
53,0.4167207340810085,0.0,0.4335509469653279,0.0,307.94342589378357,0.0,3.0518388748168945,0.0,0.0001,0,0.0001,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 0.0001}",0.4167207340810085,0.4335509469653279
53,0.4167207340810085,0.0,0.4335509469653279,0.0,303.8503727912903,0.0,2.363677978515625,0.0,0.0001,0,0.001,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 0.001}",0.4167207340810085,0.4335509469653279
53,0.4167207340810085,0.0,0.43352787838243095,0.0,309.2648913860321,0.0,2.9540998935699463,0.0,0.0001,0,0.01,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 0.01}",0.4167207340810085,0.43352787838243095
56,0.41644267309296507,0.0,0.43235138065468637,0.0,284.90902972221375,0.0,1.5249223709106445,0.0,0.0001,10,0.1,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.1}",0.41644267309296507,0.43235138065468637
57,0.41505236815274815,0.0,0.4329973009758011,0.0,289.72913885116577,0.0,4.33440899848938,0.0,0.0001,0,0.1,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 0.1}",0.41505236815274815,0.4329973009758011
58,0.41495968115673365,0.0,0.4286834759740709,0.0,281.62580919265747,0.0,2.6319613456726074,0.0,0.0001,10,1,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 1}",0.41495968115673365,0.4286834759740709
59,0.4147743071647048,0.0,0.430113728113682,0.0,290.0153737068176,0.0,3.382953643798828,0.0,0.0001,0,1,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 1}",0.4147743071647048,0.430113728113682
60,0.41115951432014086,0.0,0.42063254054303445,0.0,273.7119743824005,0.0,0.5844376087188721,0.0,1,100,0.1,"{'model__eta': 1, 'model__gamma': 100, 'model__lambda': 0.1}",0.41115951432014086,0.42063254054303445
61,0.4104180183520253,0.0,0.4190869454889386,0.0,298.2772753238678,0.0,0.7180800437927246,0.0,1,10,1000,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 1000}",0.4104180183520253,0.4190869454889386
62,0.41032533135601074,0.0,0.4935753996631987,0.0,295.8966419696808,0.0,1.1638879776000977,0.0,1,10,0.001,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 0.001}",0.41032533135601074,0.4935753996631987
63,0.4099545833719529,0.0,0.42330849615908095,0.0,297.52728247642517,0.0,2.0106234550476074,0.0,0.001,0,10,"{'model__eta': 0.001, 'model__gamma': 0, 'model__lambda': 10}",0.4099545833719529,0.42330849615908095
64,0.40884233941977943,0.0,0.4210016378693857,0.0,298.3061981201172,0.0,1.4311726093292236,0.0,0.001,10,10,"{'model__eta': 0.001, 'model__gamma': 10, 'model__lambda': 10}",0.40884233941977943,0.4210016378693857
65,0.40810084345166375,0.0,0.4764123739878659,0.0,294.91925621032715,0.0,0.792879581451416,0.0,1,10,0.1,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 0.1}",0.40810084345166375,0.4764123739878659
66,0.4075447214755769,0.0,0.4884541742600752,0.0,300.4664218425751,0.0,0.9005918502807617,0.0,1,10,0.01,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 0.01}",0.4075447214755769,0.4884541742600752
67,0.40698859949949023,0.0,0.4852015040716049,0.0,294.98308658599854,0.0,0.980377197265625,0.0,1,10,0.0001,"{'model__eta': 1, 'model__gamma': 10, 'model__lambda': 0.0001}",0.40698859949949023,0.4852015040716049
68,0.4068959125034758,0.0,0.41585734388336526,0.0,289.4957618713379,0.0,1.147930383682251,0.0,0.1,10,1000,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 1000}",0.4068959125034758,0.41585734388336526
69,0.406525164519418,0.0,0.4202634432166832,0.0,287.7384612560272,0.0,1.8690013885498047,0.0,0.0001,0,10,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 10}",0.406525164519418,0.4202634432166832
70,0.4061544165353601,5.551115123125783e-17,0.4176797619322245,0.0,269.86227202415466,0.0,0.47871899604797363,0.0,1,100,1,"{'model__eta': 1, 'model__gamma': 100, 'model__lambda': 1}",0.40615441653536005,0.4176797619322245
71,0.4055982945592733,0.0,0.42169369535629425,0.0,296.38433837890625,0.0,0.8387584686279297,0.0,1,100,0.001,"{'model__eta': 1, 'model__gamma': 100, 'model__lambda': 0.001}",0.4055982945592733,0.42169369535629425
72,0.4044860506070998,0.0,0.4180488592585757,0.0,290.5629086494446,0.0,1.5139517784118652,0.0,0.0001,10,10,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 10}",0.4044860506070998,0.4180488592585757
73,0.402910371674854,0.0,0.4122355763685437,0.0,310.50956106185913,0.0,0.9594333171844482,0.0,0.0001,100,0.0001,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 0.0001}",0.402910371674854,0.4122355763685437
73,0.402910371674854,0.0,0.4122355763685437,0.0,308.5168924331665,0.0,0.8846323490142822,0.0,0.0001,100,0.001,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 0.001}",0.402910371674854,0.4122355763685437
73,0.402910371674854,0.0,0.4122355763685437,0.0,301.9863557815552,0.0,1.1190087795257568,0.0,0.0001,100,0.01,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 0.01}",0.402910371674854,0.4122355763685437
