rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__leaf_size,param_model__n_neighbors,param_model__p,params,split0_test_score,split0_train_score
21,0.3751969598665308,0.0,0.44718447945742695,0.0,3.1864776611328125,0.0,31.769036531448364,0.0,80,17,2,"{'model__leaf_size': 80, 'model__n_neighbors': 17, 'model__p': 2}",0.3751969598665308,0.44718447945742695
25,0.37260172397812585,0.0,0.4514521672933632,0.0,2.9171977043151855,0.0,24.48950695991516,0.0,20,15,2,"{'model__leaf_size': 20, 'model__n_neighbors': 15, 'model__p': 2}",0.37260172397812585,0.4514521672933632
25,0.37260172397812585,0.0,0.4514290987104662,0.0,2.853369951248169,0.0,28.009090423583984,0.0,30,15,2,"{'model__leaf_size': 30, 'model__n_neighbors': 15, 'model__p': 2}",0.37260172397812585,0.4514290987104662
25,0.37260172397812585,0.0,0.4514521672933632,0.0,3.483992576599121,0.0,30.73950743675232,0.0,50,15,2,"{'model__leaf_size': 50, 'model__n_neighbors': 15, 'model__p': 2}",0.37260172397812585,0.4514521672933632
25,0.37260172397812585,0.0,0.4514521672933632,0.0,3.603363513946533,0.0,31.5576012134552,0.0,80,15,2,"{'model__leaf_size': 80, 'model__n_neighbors': 15, 'model__p': 2}",0.37260172397812585,0.4514521672933632
29,0.3711187320418945,0.0,0.45798057625320077,0.0,3.425837993621826,0.0,24.34688639640808,0.0,20,13,2,"{'model__leaf_size': 20, 'model__n_neighbors': 13, 'model__p': 2}",0.3711187320418945,0.45798057625320077
29,0.3711187320418945,0.0,0.4580728505847886,0.0,2.9560937881469727,0.0,24.965232372283936,0.0,30,13,2,"{'model__leaf_size': 30, 'model__n_neighbors': 13, 'model__p': 2}",0.3711187320418945,0.4580728505847886
29,0.3711187320418945,0.0,0.45800364483609773,0.0,3.4358105659484863,0.0,31.449889659881592,0.0,50,13,2,"{'model__leaf_size': 50, 'model__n_neighbors': 13, 'model__p': 2}",0.3711187320418945,0.45800364483609773
29,0.3711187320418945,0.0,0.45800364483609773,0.0,3.1266376972198486,0.0,28.862808227539062,0.0,80,13,2,"{'model__leaf_size': 80, 'model__n_neighbors': 13, 'model__p': 2}",0.3711187320418945,0.45800364483609773
33,0.3679673741774029,0.0,0.4762739624904842,0.0,3.123645305633545,0.0,28.999444246292114,0.0,20,11,1,"{'model__leaf_size': 20, 'model__n_neighbors': 11, 'model__p': 1}",0.3679673741774029,0.4762739624904842
